SIZE LAYERS EPOCH_0 EPOCH_1 EPOCH_2 EPOCH_3 EPOCH_4 F_UNTRUNC F_TRUNC F_TRUNC_SIG_TRUNC
22 6 7090 7925 8160 8328 8317 8317 8268 8268
22 7 7918 8188 8348 8383 8504 8504 8467 8467
22 8 8430 8712 8775 8780 8776 8776 8714 8714
22 9 8671 8794 8803 8770 8834 8834 8791 8791
22 10 8705 8762 8840 8777 8884 8884 8827 8827
22 11 8542 8710 8601 8848 8841 8841 8720 8720
22 12 8742 8938 8912 8972 9017 9017 8987 8987
22 13 7924 8108 8874 8778 8913 8913 8727 8727
22 14 8787 8928 8930 8848 9000 9000 8895 8895
22 15 8599 8879 8969 9047 9087 9087 8809 8809
22 16 8101 8204 9077 9041 9110 9110 8939 8939
22 17 8833 9049 9065 9129 9138 9138 9058 9058
22 18 8789 9007 9077 9099 9134 9134 9060 9060
22 19 8846 9028 9129 9161 9147 9147 9102 9102
22 20 8810 9022 9139 9167 9221 9221 9091 9091
23 1 1891 2067 2055 1883 2081 2081 2440 2440
23 2 3762 3807 3892 3799 3883 3883 3713 3713
23 3 1913 1952 2090 1942 1868 1868 2053 2053
23 4 6160 6231 6263 6409 6418 6418 6496 6496
23 5 7927 8121 8285 8176 8287 8287 8246 8246
23 6 7935 8217 8341 8289 8277 8277 8235 8235
23 7 8396 8495 8619 8648 8748 8748 8710 8710
23 8 8492 8657 8777 8757 8805 8805 8727 8727
23 9 8351 8659 8739 8784 8752 8752 8686 8686
23 10 8605 8692 8731 8804 8873 8873 8830 8830
23 11 8677 8788 8905 8872 9001 9001 8915 8915
23 12 8667 8776 8852 8827 8887 8887 8785 8785
23 13 8801 8973 9046 9103 9085 9085 9025 9025
23 14 8712 8953 8994 9046 9048 9048 8913 8913
23 15 8706 8900 8987 9038 9067 9067 8956 8956
23 16 8850 9053 9086 9134 9137 9137 8991 8991
23 17 8768 8999 9068 9088 9133 9133 9002 9002
23 18 8835 9023 9063 9082 9140 9140 8980 8980
23 19 8800 9041 9083 9101 9093 9093 8971 8971
23 20 8842 8977 9093 9115 9130 9130 8985 8985
24 1 2102 2103 2109 2066 2100 2100 2341 2341
24 2 2116 2851 2958 2950 2978 2978 2928 2928
24 3 3841 3882 3872 3826 3928 3928 4154 4154
24 4 5536 5619 5633 5614 5652 5652 5822 5822
24 5 7685 7985 7743 7871 8048 8048 8054 8054
24 6 8305 8583 8636 8678 8748 8748 8722 8722
24 7 7370 7566 7680 7696 7766 7766 7857 7857
24 8 8493 8530 8682 8672 8538 8538 8410 8410
24 9 8416 8598 8786 8854 8879 8879 8834 8834
24 10 8692 8799 8898 8925 8920 8920 8728 8728
24 11 8766 8886 8928 8980 9026 9026 8982 8982
24 12 8693 8862 8952 8982 9016 9016 8910 8910
24 13 8702 8950 8986 9010 9066 9066 8950 8950
24 14 8825 8961 9076 9038 9092 9092 8984 8984
24 15 8829 9040 9076 9077 9121 9121 8991 8991
24 16 8784 8965 9071 9096 9166 9166 9110 9110
24 17 8802 8972 9025 9063 9112 9112 8984 8984
24 18 8716 8993 9058 9145 9114 9114 8975 8975
24 19 8766 9004 9105 9129 9123 9123 9064 9064
24 20 8910 9109 9155 9182 9217 9217 9135 9135
25 1 1227 1793 1607 1688 1687 1687 1850 1850
25 2 3785 3796 3833 3788 3823 3823 4070 4070
25 3 5444 5491 5975 5957 6104 6104 6215 6215
25 4 3853 3916 3831 3921 4734 4734 4808 4808
25 5 7977 8114 8247 8406 8301 8301 8271 8271
25 6 8291 8326 8445 8569 8376 8376 8169 8169
25 7 8294 8666 8714 8725 8722 8722 8637 8637
25 8 8311 8561 8737 8703 8684 8684 8585 8585
25 9 8577 8815 8879 8877 8935 8935 8906 8906
25 10 8595 8763 8843 8851 8936 8936 8897 8897
25 11 8766 8889 8930 8957 9019 9019 8931 8931
